"productAsin","ratingScore","reviewTitle","reviewDescription","date","country","variant","isVerified","position","reviewUrl"
"B0CPWQZNQB","5","Oaths fulfilled, not broken","When I read The Way of Kings way back when it first came out, I remember a couple recurring thoughts popping up throughout the reading: ""Wow, I'm X% through a 1000+ pg book and I'm sad I only have Y more pages of this awesomeness"" and ""Holy crap this entire book is basically a prologue to something bigger."" Wind and Truth started slow. It felt like a soft lit reel of feel-good reflections by the main characters set to ""Time of Your Life"" by Green Day as they mournfully braced themselves for the epic final adventure. This bugged me more than most of my friends apparently. Me: ""Ugh this is Brandon's slowest start to a book EVER. We get it. People have grown and changed and there's a lot of feels and goodbyes because probably people are going to die and the rest of the book is going to be insane non-stop action."" Others: ""I mean it feels appropriate and I kind of like it..."" Me: [rolls eyes and looks elsewhere for commiseration] Given the context now of the, ahem, journey and destination, I'm allowing myself to feel the feels of those early chapters. Unsurprisingly for Sanderson, the master of sticking the landing, Wind and Truth delivers. In appropriate counterpoint to The Way of Kings, it feels like a 1000 page climax. That feeling that ultimately happens in a Sanderson book near the end where something VERY COOL happens alongside a surprising and satisfying conclusion? There were so many of those in this book starting around the halfway point. Taln on the pile of bodies and Ash's dying words... I almost jumped out of my chair. So much brilliant resolution of favorite character arcs (I'm left a bit breathless by Kaladin) - even the lingering unresolved tension in other arcs feels so very right (Shallan...). The significant criticisms are mostly true. Some of the writing felt slapdash. The book would have benefited from a powerful editor's red pen. There's a lot of telling rather than showing. There was some content new to Cosmere stories that made some readers uncomfortable (Rlain and Renarin's romance and the explicit ""revelation"" that some characters have sex). The mental health themes got a bit heavy-handed (Kaladin responding to Ishar ""I'm his therapist"" might be the low point of the whole series). And there wasn't as much resolution as many expected for the ""end"" of the five-book arc (I thought that was perfect, actually). Some of the criticisms are baseless contrarianism - as common as windspren when an author reaches a certain level of popularity. Stephen King writes great characters and sucks at endings. Patrick Rothfuss writes beautiful sentences but sucks at... actually writing. And for Sanderson, his prose isn't Dickens. But where he shines, he is brighter than Nightblood's self-perception. Sanderson uses the framework of fantasy to explore questions like ""what is truth?"" ""what is good?"" ""what is leadership?"" ""how do people grow?"" ""why is there suffering?"" and ""what do healthy boundaries look like?"" Rarely does he try and tell us what to think - even if a trusted character is coming to a conclusion, you can usually find someone else with a counterpoint or challenging a pithy answer with nuance. (A favorite exception in Wind and Truth is Wit's rant against the Thaylen Passions religion - a thinly veiled and fantastically vicious condemnation of health and wealth style religions.) This distinction is so important and addresses some of the gripes popping up in one star reviews. Is Sanderson ""pushing"" a worldview down his reader's throats? In my opinion, no. Do characters see particular worldviews as good and provide thoughtful reasons for them? Yes. It has always been that way in his books. Jasnah has been providing compelling reasons for atheism and Utilitarianism since The Way of Kings. Sazed argues for Universalism in Mistborn. Wayne (Mistborn Era 2) steals everything. I love Jasnah and Sazed and am not a Utilitarian or Universalist. I love Wayne and think his kleptomania is wrong. But I don't think I can believe in a thing if I can't provide compelling arguments for the opposing options. Part of why Sanderson's characters are so compelling is their willingness to think, argue, grow and change - just like us. What Dalinar was convinced was right and good changes as he learns and grows. Same with Szeth, Kaladin, Shallan, Navani, Adolin... you get the point. And the arcs are not necessarily linear - just like us they can be iterative and recursive. So to assume a character (or the author behind the pen) is telling you that their previously held beliefs are wrong because they've progressed to the next thing is an intellectual fallacy of progressive ideology (that Sanderson has already shown he does not fall for). Readers who are upset by Wind and Truth are reading fantasy for the wrong reasons. To be fair, the genre label is misleading. If you want saccharine thoughtless unchallenging escapism that fits and protects a narrow worldview, every flavor is available. But this is a series of books that is literally about people being challenged and growing. Seen for what it is, I think Wind and Truth is satisfying on a visceral ""well that was freaking awesome"" level as well as emotionally and intellectually. In my opinion, the people who don't like it haven't been paying close attention to the Cosmere books. No matter your opinions (and mine are high - it could be my favorite Cosmere novel to date), he has changed fantasy forever.","2025-02-05","United States","","true","1","https://www.amazon.com/gp/customer-reviews/R2WCCMT4E2BQ5T"
"B0CPWQZNQB","5","Spectacularly ties most loose ends","I did not enjoy this as much as the best of the previous ones. This book is full of exposition, the amount of backstory we got feels like it doubles what we had been given for all the series so far! It’s amazing however that the outcome was not predictable at all and that we got pretty good answers. So, this part of the story focused on understanding Roshar history and crafting a satisfying finale. While these goals might seem weak, most writers fail to deliver a proper ending or to fill the gaps in their stories. They build expectations, sheltered behind obscurity and when the time comes to drop the curtain, there hardly anything to show. Well, Sanderson does a pretty good job at that. Our protagonists all have their moments and progress. If you have read more of Sanderson’s works you know what kind of ending to expect and yes, this feels like an ending, though there is a lot left untold. But yeah the scope of this story was so huge that not everything could be tied cleanly. Without going into spoilers I will say that the pacing is slow. You know all will happen at the last 15% but you don’t feel that the first 85% is not worthy. I wanted to read this book in 1-2 days, though it was too large so it took me like 4-5. I could hardly stop reading. There is emotion - not as strong as in some previous books, but enough to leave you in tears at times. Mainly that’s why I gave the 5th star. If you reached this book I doubt you will skip it no matter what I write. If you do care, I will say that this whole journey (as journeys are often mentioned in the series) has been a precious experience for me - maybe my best book series. The ending is a bit more chaotic that Mistborn 1, but I will hold the 2 intros of the way of the kings in my heart until I die. I must also add that if you are facing depression this series will probably help! Life before death!Journey before destination brothers and sisters!","2025-01-20","United States","","true","2","https://www.amazon.com/gp/customer-reviews/R3744YDGM4MN05"
"B0CPWQZNQB","5","Long awaited, long in form, unique in my reading experience.","I have never read anything like Wind and Truth. It is not perfect. For one, it is LONG. There are sections that I almost want to rush past. The buffeting back and forth between characters, settings, and timelines is disorienting and at times frustrating. In the end though, the story is so fresh, so different, and so satisfying that I am a bit sad I am done with it. I love some of these characters. I am all over the place with my reactions… it is hard to accept that some of the ultimate threads are still not fully resolved. The tale is one of growth and I like that. I eagerly await the second Arc, whenever that comes.","2025-02-16","United States","","true","3","https://www.amazon.com/gp/customer-reviews/R2Y8BY50DRR76E"
"B0CPWQZNQB","4","Do the Winds carry the answers needed?...","Well, what a rollercoaster of a book this was for me! Wind and Truth from the one and only Brandon Sanderson, long awaited and highly anticipated book 5 in the massively popular Stormlight Archive series has landed and made its mark on us all...good and bad it seems so far. The conclusion to the first half of the Saga, in what will be a 10 book epic has us looking at a loooong wait to continue where book 5 leaves us, on the edge of a massive cliff, looking at a aggressive storm front... with more questions than ever before! 🥴 With that said however, this massive volume is chock full of that next level world building, character depth, insanely deep lore and breath stealing twists and betrayals that we have come to expect and crave from Sanderson and his unparalleled skill with the pen. The unique magic system introduced in this world continues to impress and shock me, even 5 massive books in. Just when you think you've got the next couple steps figured out, you are knocked into another realm with no idea what just happened or how to navigate what is to come. Brilliant story arc weaving creates a beautifully woven blanket of PoV's that wrap us readers in a cocoon of trials, transformation and sacrifice that seem to demand so much attention, you can't help but to lose most of your day in this shattered landscape. Written in what was just a brilliant idea to structure a story, we are following our characters through a 10 day lead up to a chaotic and emotional final confrontation. The fate of Roshar is teetering on the edge of destruction...can the Winds of Truth usher in the answer needed to prevail?! During these ever expanding different paths our characters take us through is where I found my one and only issue (which I briefly saw in earlier books in this series) and that is, I felt at times, this book could have maybe been trimmed by about 300 or so pages. Perhaps just me, but the many PoV's all seemed to have quite a bit of (imo) too much unwarranted context that wasn't truly necessary to progress the story? Seemed like content fluff to pad the book size ..and good God why would we need that!! 😋 I at points started to ask myself if this was going to be the entry I might not resonate with and find disappointment...yea, there's the ""rollercoaster"" part of the review, boy did it prove NOT to be! The last quarter of the book grabbed me like a lashing and yanked my devotion and love of this world back on track! 🔥 The ending is the other part of the earlier mentioned start of the review ...more questions. I guess I had my own ideas as to how this would wrap up by the end of this entry...but man, things just seemed to blow open and leave us scrambling to grab a hold of everything that happened and ""try"" to piece it together! 🤯 Pacing at points and what is not a definitive conclusion by any stretch, should absolutely NOT deter you or your love of this Saga. As I stated, the level of story telling, character depth, world building and creativity from Sanderson will guide you through this all, and present you with a work of art that will continue to dazzle and change every time you look at it or discuss in forms for years to come. Thank God for this...as we are now looking at years before we continue our journey through the Cosmere. So break out your deck of cards and get your skill at Towers trained up...the battle will continue, will you be ready?! 💪 4⭐ and man was that hard for me ...these are usually 5⭐ but between the ""at times"" bloated chapters, jaw dropping (but wide open) ending and the years till our answers, I landed on a rock solid 4 almost 4.5. Each journey is it's own...what will yours bring you? Enjoy my fellow Cosmere fans, this is far from over! 🔥🍻","2025-02-23","United States","","true","4","https://www.amazon.com/gp/customer-reviews/R3KEL2A45ARO2X"
"B0CPWQZNQB","5","Masterpiece","Masterpiece. This is one of the most creative and talented authors I've ever read. Every bit as good as Tolkien and George R R Martin in his ability to develop dynamic characters and rich lore. This is my favorite series since A Song of Ice and Fire. You realize that Sanderson has had this entire series in his head - in all its glorious and voluminous depth - since the beginning of book one. Amazing. He creates characters you really connect with while seamlessly factoring in complex topics like mental health, spirituality/religion, human relations, and so much more. I'm truly grateful for this series - it is a gift - and could not recommend it strongly enough to fans of fantasy fiction.","2025-03-23","United States","","true","5","https://www.amazon.com/gp/customer-reviews/RLU4FUS4TO08D"
"B0CPWQZNQB","5","And brilliant ending of an arc that only Brandon Sanderson could write","First, for some of the key plot elements of this book to make sense you must at least finish the original mistborn trilogy. Understanding Cosmere is relevant for understanding this book. That aside, Brandon Sanderson has done it again. Treating almost all of his major characters with humanity and depth that makes you unable to resist rooting for them. I've never read epic fantasy that was actually good for my mental health, but that's how kindly and compassionately he treats the characters dealing with problems both on a cosmic scale but also the same ones we face every day. The pacing of this book was excellent, the narrative arcs satisfying for the characters you care about, and the ending something you would have never predicted...one that leaves you happy, sad, and eagerly anticipating the conclusion of the entire series. The primary questions that the series asks in book one are answered and divine characters are revealed to be surprisingly human and flawed. This book does this while opening up new questions and forcing the reader to beg the question, ""how is this going to play out"". The stormlight archive for me personally is cemented on my Mount Rushmore of favorite fiction series, and you should read this and the whole series if you love epic fantasy, swords, powers, heroes you can root for and villains you loathe, world building, and mystery. Must read. Epic conclusion","2025-02-23","United States","","true","6","https://www.amazon.com/gp/customer-reviews/R390A8LFS1B7O8"
"B0CPWQZNQB","5","This is the best Sanderson YET!","I'm a huge reader, Probably 2-3 books a week. Sanderson, admittedly, is one of my favorite authors due to his unique writing style and worlds. This book blows anything away that he's written in my opinion! There are 3 main point of views you follow through this book and they change up pretty darn often which keeps the pace moving pretty quick. I remember seeing that I was only 20% of the way through the book and I couldn't believe how hooked I was and how much was happening already. Brandon has a way of being a little sloggish in the Stormlight Series... NOT in this book. The pacing is perfect. There is a lot of introspect in this book. A lot of self discovery, but it's not boring - it's tied together with constant happenings. None of it feels forced and some of it is a bit surprising. You have to actually think about the whole book to even realize it's surprising because of how well it's done. You will see some people completely different at the end of this book. One in particular, in my opinion. I laughed out loud plenty of times. I sat on the edge of my seat plenty of times. I thought I had it all figured out plenty of times (I was right about a couple of things throughout the book). In typical BS fashion Brandon tosses ya a few things that are almost impossible to feel out even though he does foreshadow here and there. You have to realize he loves a fake foreshadowing as well though. Overall, this is my favorite book I've read of his. It brought so much together, elightened quite a bit, and really has me wondering what's happening next. VERY hard to try to figure out. But I CANNOT wait to see. One note: As usual, you don't need to read the rest of the cosmere books for this, but oh boy if you do it's a lot more fun (at least I think it would be since I have). No matter what, get this book!","2024-12-10","United States","","true","7","https://www.amazon.com/gp/customer-reviews/RO3B2MFQC0N2W"
"B0CPWQZNQB","5","Stuck the landing","After intense frustration and disappointment with book 4, book 5 finished on a high note. It's a wonderful and satisfying conclusion.","2025-06-12","United States","","true","8","https://www.amazon.com/gp/customer-reviews/R2QMKMAMDY7EEJ"
"B0CPWQZNQB","2","A Monumental Failure | Not really invested| YA Style | Quality Nosedive","Has Stormlight shifted toward more of a Young Adult style, losing some of the depth and internal consistency of the previous books? I find it genuinely difficult to understand how readers who enjoyed the first four books might find this one equally satisfying. Many dedicated Sanderson fans I know have expressed disappointment with this latest installment, and personally, it diminished my enthusiasm for the Cosmere overall. If I'm being very gracious, I would appreciate the fact that at least Brandon Sanderson’s sense of moral depth still shines through—he clearly cares about weaving meaningful lessons into his stories. But man, Wind and Truth was a huge letdown for me. It starts off with some promising ideas, a powerful preface, and a good sense of epicness, but the actual reading experience felt rough, choppy, and far less engaging than past Stormlight entries. Significantly so. What Happened? Rushed editing schedules and the looming Dragonsteel convention supposedly ""forced"" an early release—by at least a year, maybe even two. But I just think Brandon is coasting on his success and becoming too enraptured with the freedom of being able to write whatever he wants and is simply not listening enough to feedback. That’s his choice, but it's the same reason so many things fail after success, and it seems to be a major misstep. Yes, there are pockets of good stuff, but overall it reads like a draft that needed much more polishing. I honestly have no idea how this ever got published. Strengths Strong Morals and Ethics Sanderson stays true to his habit of infusing genuinely good lessons into his work. You can see his thoughtfulness and heart, which is nice in a fantasy world that often gets stuck in endless battles and drama with horribly immoral characters everywhere. You get noblebright with Sanderson, and I like that. Ambitious Ideas There’s no shortage of grand plans in the high-level plot, character arcs, and Cosmere connections. Some truly bold twists show what Sanderson show that he can risk big things in a book. Unfortunately, so many of them fell flat due to horrible execution and writing that was cringeworthy sometimes. Emotional Moments There are still a few heart-wrenching scenes that show off his usual talent for big, stirring climaxes. Unfortunately, they don’t pop up often enough to carry the entire novel because everything changes so much. He blames expanding scope of world, but this is still an excuse. It is extremely clear he didn't need to write as much as he did to almost everyone except him. Main Criticisms Uneven Execution This is the major problem. Maybe he could have pulled it off. But the editing was horrendous. The structural ideas are interesting, but the actual prose and scene-to-scene flow never really come together. It feels more like a decently revised draft than the polished novel we usually expect. Excessive Length and Bloating It's not how big the book is... 1,330 pages could have been done well, but the story drags in the middle (roughly pages 700–900). This would have been fine but so much of it felt completely unnecessary, or were obviously just soapboxes for Sanderson to info dump and share his beliefs. Spending more time with the central plot and characters would have enhanced this book dramatically. Overuse of POV Shifts We bounce between characters almost every few pages, which leads to constant narrative whiplash. I can't express how much this completely kills the moments that should have been impactful. This is so obvious and almost everyone is complaining about it. It is not possible that Sanderson didn't realize this feedback, he just ignored it. Awkward Withholding of Information A lot of scenes cut off right when something major is about to happen, sentences don't finish, and other super cheap devices to create tension are so overused in this book. This is such a stark contrast to the masterful way Sanderson fulfilled promises in previous installments. It feels like a gimmick rather than genuine tension. After it happens enough times, those “big reveals” just don’t hit as hard. A Shoehorned Plot The whole book feels like every single plot point is too artificial and shoehorned in to some idea Sanderson had for where it should go instead of actually considering whether things truly worked or not. Previous books felt so much more organic and real, and this felt completely artificial and synthetic. Like I was ""seeing through"" the novel the entire time and never getting pulled in. Inconsistent Tone and Style Every now and then, random modern phrases pop up on Roshar, which is jarring and completely ridiculous. Cringeworthy phrases abound in this book, and my eyes could not stop rolling at the utter stupidity of some of the things characters say. No one on Roshar ever said to be ""the adult in the room"" or cursed with Earth terms or got hot and heavy in certain scenes. This is inconceivable and ridiculous that someone as skilled as Sanderson doesn't understand how bad that is to do. I don't care how you rationalize it. It's bad dude. No one likes it. They're just telling you what you want to hear. Limited Character Growth After so many pages spent with these people, I was hoping for deeper development. Szeth is our main character, and things started out so interesting with him, but his path was SO repetitive and boring after a while that something that could have been amazing just fell completely flat. Most characters just rehash old lessons or add a thin layer of a new lesson on topic of that. Characters and plot were usually deeply tied together, and this time, it just didn't work. Editing Shortcomings It’s surprising that a large group of early readers didn't scream at Sanderson to stop what he was doing with the rough pacing, repetitive themes, clichés, and other tone issues. This could have been a masterpiece. There's no excuse for releasing it early. Reading Experience Flow and Pacing I found myself taking a lot of breaks to slog through the sluggish middle portion, battling frustration almost every chapter. There are cool reveals, but we don't get to savor any of them because the POV shifts are way too much in this book.. Emotional Exhaustion and Frustration with The Book Steal The Good Moments Some folks might still enjoy the big reveals and the overarching Cosmere connections. I, however, felt worn down by the uneven pace and frequently puzzled by certain narrative choices. Sanderlanche was less than hoped for Yes, the final act does ramp up. But with so many perspective shifts piled on top of the rest of the book’s problems, it felt more chaotic than thrilling. The ending was okay, not the jaw-dropper I’d hoped for. So many things were just dropped or ended quicker than I felt they ought to have. It Ruined The Cosmere For Me I no longer really care what happens in the Cosmere with any emotional investment. This was the biggest let down of the year and the worst book I read in 2024. His writing is becoming increasingly predictable, juvenile, and unpolished. I thought this was going to be the best series ever written, this book made it clear that it won't be by a long shot. Conclusion As someone who used to be totally on board with Stormlight, this left me bummed out and honestly ready for a break from Sanderson. I’ll likely keep reading his stuff—especially the graphic audio editions I enjoy more—but my excitement for the series took a major hit. Some readers might still find things to like, but for me, it was a draining read that fell short of what I’ve come to expect.","2024-12-22","United States","","true","9","https://www.amazon.com/gp/customer-reviews/R2RZEVXPDSO395"
"B0CPWQZNQB","5","These books are great to help you relax and drift into other worlds","I love this series as an audible book. I have been listening to it on my commute and it really helps reduce my attention on annoying drivers. I will say that it was amazing how hard the first few chapters were to get into. It seemed really complicated with too much technical, but suddenly you are IN IT and you are hooked on the books. It was weird how that happened. These books really tell a lot of good life lessons, concepts on strategy, and overall complications of different cultures. I would definitely recommend these books to people who enjoy fantasy, war, drama.","2025-07-27","United States","","true","10","https://www.amazon.com/gp/customer-reviews/R3RFBNQ60GEBP1"
"B0CPWQZNQB","5","Incredible","An incredible ending for this series. What a fantastic set of fantasy books. I have not been this invested in a world since I read ASOIAF in highschool. My highest praise to Brandon Sanderson for writing such an incredible book. I look forward to reading more about the cosmere and anticipate the conclusion of the Stormlight Archive.","2025-07-20","United States","","true","11","https://www.amazon.com/gp/customer-reviews/R3DABBKZTV2FUY"
"B0CPWQZNQB","5","My favorite book series","It doesn’t disappoint! I re-read books 1-4 plus the two novellas to be ready for this one and I think that helped me be fully submersed into Roshar. I’m sad I have to wait a long time for number 6!","2025-07-19","United States","","true","12","https://www.amazon.com/gp/customer-reviews/R2ZAECMKGLHRDQ"
"B0CPWQZNQB","4","Hardest book of the series to get through but still a good story. Could have been shorter.","I have been enjoying the Stormlight Archive series immensely up until this book. It was a harder read with even more jumping around from character to character that I feel like I got mental whiplash. I think this is the longest book in the series thus far, and I think it could have used another round of editing to cut it down some more. There were certain parts that just dragged on for too long. It's an okay conclusion to the five part story arc but of course there is much more to come, since this is supposed to be ten books. Another thing that might make some readers pause is that a certain homosexual relationship takes a bigger prominence in this volume that might turn off some readers but appeal to others. I find it surprising given the author's Mormon background.","2025-05-28","United States","","true","13","https://www.amazon.com/gp/customer-reviews/R3FU15B1MMA6K5"
"B0CPWQZNQB","5","An improvisation for sure;)","I actually had a moment where I teared up. Sanderson does an amazing job of creating the individual personalities and I find myself more and more falling in love with each and every character. Masterful as always.","2025-07-17","United States","","true","14","https://www.amazon.com/gp/customer-reviews/R3GZAP9D2PYUAH"
"B0CPWQZNQB","5","Please dont wait!","I keep having to reread the Stormlight Archive books because by the time the next one comes out, I’ve forgotten most of the story line. PLEASE DON’T WAIT YEARS this time!","2025-07-18","United States","","true","15","https://www.amazon.com/gp/customer-reviews/R1L8KEWTBWEWPG"
"B0CPWQZNQB","4","Wind and Truth","Sanderson is a great writer. I have read a lot of his books. This one has four stars instead of five because it is not yet the end of the story but there must be five more books written. At the rate of production for this one I won’t live long enough to read five more of Sanderson’s books!","2025-07-12","United States","","true","16","https://www.amazon.com/gp/customer-reviews/RFCNCIR3K5UVY"
"B0CPWQZNQB","5","The best experience!","The item was in great condition! Arrived quickly! It is a durable and useful product!","2025-07-26","United States","","true","17","https://www.amazon.com/gp/customer-reviews/R2LA2KRWMQ8R43"
"B0CPWQZNQB","5","Bittersweet","A beautiful gut wrenching ending to an epic story. Saying goodbye to these characters is painful but journey before destination and such.","2025-07-15","United States","","true","18","https://www.amazon.com/gp/customer-reviews/R3V4DUJYGI1PRS"
